"x","y","se","age","filename","Pop","species","study"
1998,89.31072,0.8463829,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1999,91.05639,0.9041356,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
2000,89.54875,0.8197123,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1972,91.22008,0.9051471,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1973,92.26072,1.1446173,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1974,93.96184,1.4506517,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1975,91.87187,0.9980542,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1976,90.17042,0.917859,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1977,92.05906,0.723209,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1978,92.95817,0.7997803,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1979,94.00953,0.5008548,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1980,92.36103,0.5673019,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1981,93.30812,0.6169977,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1982,92.85264,0.6656972,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1983,91.2015,0.6623296,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1984,91.90479,0.7759033,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1985,92.56469,0.5802831,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1986,91.32846,0.6418221,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1987,92.72469,0.5282617,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1988,92.27788,0.6066163,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1989,94.32488,0.6628173,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1990,91.78305,0.7005989,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1991,89.64701,0.7666734,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1992,90.27975,0.6347884,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1993,90.2296,0.6488299,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1994,90.38642,0.7639595,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1995,90.70443,0.6970649,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1996,88.59231,0.7748536,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1997,90.40843,0.6840009,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1998,88.47237,0.8827601,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1999,90.9907,0.6215081,"8_10","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
